Time,X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
0.408,1072.10910058472,-2781.85988894653,-1072.10910058473,-930.307947489509,-2882.22766092764,930.307947489511
0.411,1080.54827656772,-2802.00675008203,-1080.54827656773,-936.641652782275,-2903.86281357969,936.641652782272
0.415,1091.81211331081,-2828.85950555143,-1091.81211331082,-945.074130031497,-2932.7169744324,945.074130031504
0.418,1100.26868944003,-2848.99177046167,-1100.26868944003,-951.389138364636,-2954.3630553675,951.389138364644
0.421,1108.73271891204,-2869.1177706452,-1108.73271891204,-957.696130827523,-2976.01380996136,957.696130827522
0.425,1120.029681619,-2895.94268288836,-1120.02968161901,-966.092981991157,-3004.88874262821,966.092981991151
0.428,1128.51109319616,-2916.05404391858,-1128.51109319617,-972.381264035274,-3026.55037933717,972.381264035278
0.431,1136.9999503729,-2936.15912183393,-1136.99995037291,-978.661524453153,-3048.21666991151,978.66152445316
0.435,1148.33000462937,-2962.95610912561,-1148.33000462938,-987.022723949044,-3077.11228642196,987.022723949037
0.438,1156.83622581726,-2983.04650500423,-1156.83622581726,-993.284260546033,-3098.78941291032,993.284260546037
0.441,1165.3498848388,-3003.13059939893,-1165.3498848388,-999.537769785244,-3120.47117345651,999.537769785247
0.445,1176.7129961296,-3029.89958009895,-1176.7129961296,-1007.86329213983,-3149.387385777,1007.86329213984
0.448,1185.24400101537,-3049.96894961824,-1185.24400101538,-1014.09806421307,-3171.0799360031,1014.09806421308
0.452,1196.63023163974,-3076.7182771739,-1196.63023163974,-1022.3985974702,-3200.01051297705,1022.39859747021
0.455,1205.17856965547,-3096.77289185733,-1205.17856965548,-1028.61462306988,-3221.7138204996,1028.61462306988
0.458,1213.7343322508,-3116.82117387358,-1213.73433225081,-1034.82261162428,-3243.42172837478,1034.82261162428
0.462,1225.15356100265,-3143.54235624528,-1225.15356100266,-1043.08742468458,-3272.37275135788,1043.08742468458
0.465,1233.72663849122,-3163.57584066333,-1233.72663849123,-1049.27665351739,-3294.09137023962,1049.27665351739
0.468,1242.30713273237,-3183.60297409707,-1242.30713273237,-1055.45783963943,-3315.81456962846,1055.45783963944
0.472,1253.75932482485,-3210.29592987564,-1253.75932482485,-1063.686907323,-3344.78595041835,1063.68690732301
0.475,1262.35711566977,-3230.3082229939,-1262.35711566977,-1069.84932053261,-3366.51981449122,1069.84932053261
0.478,1270.96231541764,-3250.31414683018,-1270.96231541764,-1076.00368539045,-3388.2582392117,1076.00368539046
0.482,1282.44743596347,-3276.97879469235,-1282.44743596347,-1084.19698262629,-3417.24988954402,1084.19698262629
0.485,1291.06991397296,-3296.96983554106,-1291.06991397296,-1090.33256143801,-3438.9989325935,1090.33256143801
0.488,1299.69979301316,-3316.95448882945,-1299.69979301317,-1096.46008628154,-3460.75251641721,1096.46008628153
0.492,1311.21780702479,-3343.59074753821,-1311.21780702479,-1104.6175881076,-3489.76434796586,1104.61758810761
0.495,1319.86494593184,-3363.56047521232,-1319.86494593184,-1110.72631382855,-3511.5285037312,1110.72631382856
0.498,1328.51947797486,-3383.52379706723,-1328.51947797486,-1116.82697998937,-3533.29718038356,1116.82697998938
0.502,1340.07035036448,-3410.13158547213,-1340.07035036449,-1124.9486615527,-3562.32910476093,1124.94866155269
0.505,1348.74212382698,-3430.07993913148,-1348.74212382698,-1131.03051557176,-3584.10830693533,1131.03051557176
0.508,1357.42128250815,-3450.02186873228,-1357.42128250815,-1137.10430446334,-3605.89201009579,1137.10430446334
0.512,1369.00497808789,-3476.60110576955,-1369.0049780879,-1145.19014102006,-3634.94393885307,1145.19014102005
0.515,1377.70135968864,-3496.52802463914,-1377.70135968864,-1151.24510480801,-3656.73812108391,1151.24510480801
0.518,1386.4051185683,-3516.44850123043,-1386.4051185683,-1157.29199792568,-3678.53678438612,1157.29199792568
0.522,1398.02160205029,-3542.99910592325,-1398.02160205029,-1165.34196484112,-3707.60862901354,1165.34196484113
0.525,1406.74256529714,-3562.90452929335,-1406.74256529715,-1171.37001995066,-3729.41772490257,1171.37001995066
0.528,1415.47089786068,-3582.80349218502,-1415.47089786068,-1177.38999887169,-3751.23128193461,1177.38999887169
0.532,1427.12013385711,-3609.32538364386,-1427.12013385711,-1185.4040716205,-3780.32295386176,1185.4040716205
0.535,1435.86565218307,-3629.20925087028,-1435.86565218308,-1191.40519968626,-3802.14689696528,1191.40519968626
0.538,1444.61853184098,-3649.08663943776,-1444.61853184099,-1197.39824606992,-3823.97528126985,1197.39824606993
0.542,1456.30048486433,-3675.57973686052,-1456.30048486433,-1205.37640023605,-3853.0866918659,1205.37640023606
0.545,1465.07053162753,-3695.44198736468,-1465.07053162754,-1211.35058297475,-3874.92541569496,1211.35058297476
0.548,1473.84793171559,-3715.29774104918,-1473.84793171559,-1217.31667856236,-3896.76856076961,1217.31667856237
0.552,1485.56256617862,-3741.76196372152,-1485.56256617862,-1225.2588898392,-3925.89962134361,1225.25888983921
0.555,1494.35711466253,-3761.6025369907,-1494.35711466253,-1231.20610904962,-3947.75305936424,1231.20610904963
0.559,1506.09460490562,-3788.04649935978,-1506.09460490562,-1239.12314590017,-3976.89782211962,1239.12314590018
0.562,1514.90628865768,-3807.87186259481,-1514.90628865768,-1245.05147985505,-3998.76152046265,1245.05147985505
0.565,1523.72531207107,-3827.69069818237,-1523.72531207107,-1250.97171741809,-4020.6296060961,1250.9717174181
0.569,1535.49542302714,-3854.10564878862,-1535.49542302714,-1258.85277030948,-4049.79386791751,1258.85277030948
0.572,1544.33156291048,-3873.90923206873,-1544.33156291048,-1264.75410998254,-4071.67216724164,1264.75410998255
0.575,1553.17503438758,-3893.70626959423,-1553.17503438759,-1270.64734786136,-4093.55483386449,1270.64734786136
0.579,1564.97773020084,-3920.09212796134,-1564.97773020084,-1278.49239278277,-4122.73850589999,1278.49239278278
0.582,1573.83829929754,-3939.87387095259,-1573.83829929754,-1284.36672019473,-4144.63133955069,1284.36672019473
0.585,1582.70619189813,-3959.64905010199,-1582.70619189813,-1290.23294043468,-4166.5285204951,1290.23294043469
0.589,1594.54143661351,-3986.00573584232,-1594.54143661351,-1298.04195348504,-4195.73151383359,1298.04195348505
0.592,1603.42640793124,-4005.76557827724,-1603.42640793124,-1303.88925073888,-4217.63881511204,1303.88925073888
0.595,1612.31869464066,-4025.51883880311,-1612.31869464066,-1309.72843546766,-4239.55044366596,1309.72843546766
0.599,1624.18645220395,-4051.84627161784,-1624.18645220394,-1317.50139285563,-4268.77266933746,1317.50139285564
0.602,1633.09579867603,-4071.58415329573,-1633.09579867602,-1323.32164213667,-4290.69437150079,1323.32164213669
0.605,1642.01245240532,-4091.31543501738,-1642.01245240532,-1329.13377356433,-4312.62038090818,1329.13377356434
0.609,1653.91268666323,-4117.61353469688,-1653.91268666324,-1336.87065160844,-4341.86174988414,1336.87065160846
0.612,1662.84638114875,-4137.32939548392,-1662.84638114875,-1342.66383518443,-4363.79778614561,1342.66383518444
0.615,1671.78737473472,-4157.03863828765,-1671.78737473472,-1348.44889560344,-4385.73810960656,1348.44889560345
0.619,1683.72004943507,-4183.30732471157,-1683.72004943506,-1356.14967073212,-4414.99853280011,1356.14967073213
0.622,1692.6780647189,-4203.00110454103,-1692.6780647189,-1361.91577095324,-4436.94883632929,1361.91577095324
